family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Pipidae,0.0,25.0,12.0,0.0
Piscirickettsiaceae,27.78,36.0,46.0,31.4
Planctomycetaceae,272.69000000000005,324.0,311.0,310.0000000000001
Plasmodiidae,12.95,74.0,72.0,9.63
Plectosphaerellaceae,0.0,1.0,2.0,0.0
Pleosporaceae,0.0,9.0,4.0,0.0
Podoviridae,39.39,40.0,42.0,31.020000000000003
Polyangiaceae,20.65,15.0,11.0,21.480000000000004
Porphyromonadaceae,77.76999999999998,80.0,83.0,76.11
Porticoccaceae,599.1400000000001,123.0,135.0,596.7200000000001
Poxviridae,1.61,8.0,7.0,0.0
Prevotellaceae,13.14,36.0,46.0,18.619999999999997
Prochloraceae,159.81000000000003,63.0,59.0,136.13000000000002
Promicromonosporaceae,5.800000000000001,48.0,36.0,8.129999999999999
Propionibacteriaceae,15.570000000000002,25.0,24.0,11.530000000000001
Pseudoalteromonadaceae,128.67,204.0,187.0,124.65000000000005
Pseudomonadaceae,506.04000000000013,434.0,479.0,522.1099999999999
Pseudonocardiaceae,17.470000000000002,73.0,67.0,13.719999999999999
Psychromonadaceae,17.389999999999997,64.0,56.0,22.869999999999997
Pteromalidae,0.0,11.0,12.0,0.0
Puniceicoccaceae,53.94,129.0,142.0,50.279999999999994
Pyrenomonadaceae,9.95,3.0,3.0,8.790000000000001
Rhabditidae,8.18,44.0,62.0,6.68
Rhizobiaceae,357.0400000000001,232.0,240.0,351.89
Rhodobacteraceae,5906.470000000001,2013.0,2015.0,5941.199999999998
Rhodospirillaceae,609.7399999999999,279.0,325.0,640.5700000000005
Rikenellaceae,7.36,3.0,4.0,11.45
Roseiflexaceae,34.44,28.0,30.0,42.309999999999995
Rubrobacteraceae,3.19,9.0,12.0,3.27
Ruminococcaceae,9.77,29.0,32.0,5.66
Saccharomycetaceae,8.3,41.0,61.0,4.93
Saccharospirillaceae,83.18,37.0,52.0,74.45
Salicaceae,3.3,32.0,30.0,3.21
Salpingoecidae,15.43,119.0,155.0,28.45
Sanguibacteraceae,3.14,24.0,28.0,3.3200000000000003
Sarcocystidae,0.0,7.0,9.0,0.0
Schistosomatidae,1.64,5.0,5.0,3.21
Schizophyllaceae,3.22,6.0,11.0,2.54
Schizosaccharomycetaceae,2.44,37.0,34.0,0.0
Sclerotiniaceae,2.4,20.0,22.0,3.25
